[Arg](cr) C4H10N3 C(4)H(10)N(3) min mk 28800. -27820. 40.49 63.93 -3.408 143.12 0. null # [PC4] 25.May.11
[Asn](cr) C2H4NO C(2)H(4)N(1)O(1) min mk -40344. -67280. 22.3 30.51 -1.884 79.64 0. null # [PC4] 25.May.11
[Asp](cr) C2H3O2 C(2)H(3)O(2) min mk -88336. -111401. 21.25 31.82 -1.817 75.19 0. null # [PC4] 25.May.11
[Cys](cr) CH3S C(1)H(3)S(1) min mk 4857. -5468. 21.19 32.61 -7.691 100.5 0. null # [PC4] 25.May.11
[Glu](cr) C3H5O2 C(3)H(5)O(2) min mk -88576. -120100. 25.57 44.62 -1.763 90.89 0. null # [PC4] 25.May.11
[Gln](cr) C3H6NO C(3)H(6)N(1)O(1) min mk -40870. -76076. 27.2 45.81 -0.551 94.1 0. null # [PC4] 25.May.11
[Gly](cr) H H(1) min mk -4101. -7170. 5.33 -2.46 -5.263 41.9 0. null # [PC4] 25.May.11
[His](cr) C4H5N2 C(4)H(5)N(2) min mk 36950. 9730. 38.05 69.27 -4.467 137.38 0. null # [PC4] 25.May.11
[Ile](cr) C4H9 C(4)H(9) min mk 3238. -31262. 30.31 60.04 -1.585 100.98 0. null # [PC4] 25.May.11
[Leu](cr) C4H9 C(4)H(9) min mk 868. -33365. 31.21 65.97 -2.128 106.67 0. null # [PC4] 25.May.11
[Lys](cr) C4H10N C(4)H(10)N(1) min mk 3530. -40990. 35.28 74.11 -5.468 132.22 0. null # [PC4] 25.May.11
[Met](cr) C3H7S C(3)H(7)S(1) min mk 8592. -16790. 35.9 61.81 0.49 101.17 0. null # [PC4] 25.May.11
[Phe](cr) C7H7 C(7)H(7) min mk 35660. 9632. 31.64 80.71 -6.716 129.95 0. null # [PC4] 25.May.11
[Pro](cr) C3H5 C(3)H(5) min mk 14135. -4469. 19.8 36.19 -5.196 83.46 0. null # [PC4] 25.May.11
[Ser](cr) CH3O C(1)H(3)O(1) min mk -37046. -53896. 16.24 19.29 -1.822 59.46 0. null # [PC4] 25.May.11
[Thr](cr) C2H5O C(2)H(5)O(1) min mk -33819. -60134. 17.09 32.28 -4.861 87.48 0. null # [PC4] 25.May.11
[Trp](cr) C9H8N C(9)H(8)N(1) min mk 57696. 22032. 40.58 111.5 -6.652 157.79 0. null # [PC4] 25.May.11
[Tyr](cr) C7H7O C(7)H(7)O(1) min mk -9206. -42519. 31.74 79.41 -6.585 140.34 0. null # [PC4] 25.May.11
[Val](cr) C3H7 C(3)H(7) min mk 393. -26458. 23.34 43.66 -1.356 84.58 0. null # [PC4] 25.May.11
[Hyd-Pro](cr) C3H5O C(3)H(5)O(1) min mk -21372. -46988. 20.78 46.25 -46.295 267.69 0. null # [PC4] 25.May.11
